"""nodeId""","""centrality"""
1242,2181.72456
1259,1735.18116
1279,1314.2128
1272,821.89213
1273,813.80356
1243,792.05475
1267,782.04489
1261,772.20808
1277,654.55485
1269,287.4697
1351,281.93635
1276,277.18394
1271,269.90117
1282,259.44804
1289,210.21789
1294,179.82839
1296,173.63248
1334,155.99999
1275,131.124
1264,130.85543
1274,119.44176
1268,91.28685
1356,85.55443
1299,81.51337
1280,43.97952
1324,35.57458
1278,31
1254,22.73208
1265,20.82006
1263,16.17407
1256,3.63094
1364,2.55626
1323,2.30816
1260,0.82142
1341,0.3297
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1255,0
1257,0
1258,0
1262,0
1266,0
1270,0
1281,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1290,0
1291,0
1292,0
1293,0
1295,0
1297,0
1298,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1352,0
1353,0
1354,0
1355,0
1357,0
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,0
1431,0
